date,frac_WT,frac_alpha,frac_summer,frac_delta,areaName,year_week,cases,cases_WT,cases_summer,cases_alpha,cases_delta
2020-09-05,0.771115409413282,0,0.228884590586718,0,England,2643,14222,10967,3255,0,0
2020-09-12,0.719506172839506,0,0.280493827160494,0,England,2644,19535,14056,5479,0,0
2020-09-19,0.67192429022082,0,0.32807570977918,0,England,2645,23774,15974,7800,0,0
2020-09-26,0.597891036906854,0.00070298769771529,0.401405975395431,0,England,2646,38557,23053,15477,27,0
2020-10-03,0.597325408618128,0.000990589400693413,0.401684001981179,0,England,2647,66434,39683,26685,66,0
2020-10-10,0.440863394441159,0.000295683027794205,0.558840922531047,0,England,2648,91805,40473,51304,27,0
2020-10-17,0.397163120567376,0.0012227928588897,0.601614086573734,0,England,2649,99923,39686,60115,122,0
2020-10-24,0.370922832140016,0.00497215592680987,0.624105011933174,0,England,2650,128073,47505,79931,637,0
2020-10-31,0.330295411690761,0.00817096165933375,0.661533626649906,0,England,2651,130649,43153,86429,1068,0
2020-11-07,0.304438726278546,0.0212286908973947,0.674332582824059,0,England,2652,142724,43451,96243,3030,0
2020-11-14,0.257602618300832,0.0762307377608073,0.666166643938361,0,England,2653,154879,39897,103175,11807,0
2020-11-21,0.23455949137148,0.0862851952770209,0.679155313351499,0,England,2654,117324,27519,79681,10123,0
2020-11-28,0.18883476957662,0.176095916073436,0.635069314349944,0,England,2655,87997,16617,55884,15496,0
2020-12-05,0.134134134134134,0.37037037037037,0.495495495495496,0,England,2656,86519,11605,42870,32044,0
2020-12-12,0.115916271721959,0.419233807266983,0.464849921011058,0,England,2657,116903,13551,54342,49010,0
2020-12-19,0.0637662949583791,0.65918014763625,0.277053557405371,0,England,2658,190175,12127,52689,125360,0
2020-12-26,0.0591480232914496,0.659209316579835,0.281642660128716,0,England,2659,228277,13502,64293,150482,0
2021-01-02,0.0243346007604563,0.80703422053232,0.168631178707224,0,England,2660,347289,8451,58564,280274,0
2021-01-09,0.0228816061411278,0.814437555358725,0.162680838500148,0,England,2661,353328,8085,57480,287764,0
2021-01-16,0.0188235294117647,0.840336134453782,0.140840336134454,0,England,2662,274039,5158,38596,230285,0
2021-01-23,0.0133538777606574,0.893271700051361,0.0933744221879815,0,England,2663,210313,2808,19638,187867,0
2021-01-30,0.0099009900990099,0.931295738269479,0.058803271631511,0,England,2664,146885,1454,8637,136793,0
2021-02-06,0.00653798256537983,0.958904109589041,0.0345579078455791,0,England,2665,109705,717,3791,105197,0
2021-02-13,0.003909026297086,0.974591329068941,0.021499644633973,0,England,2666,77711,304,1671,75736,0
2021-02-20,0.00338169521108323,0.982109741463947,0.01450856332497,0,England,2667,66587,225,966,65396,0
2021-02-27,0.00127966496044672,0.991507677989763,0.0072126570497906,0,England,2668,48548,62,350,48136,0
2021-03-06,0.00139421401185082,0.992564191936796,0.00604159405135355,0,England,2669,33724,0,204,33473,0
2021-03-13,0.00118506814141813,0.995753505826585,0.00306142603199684,0,England,2670,32138,0,98,32002,0
2021-03-20,0.000825460882325965,0.99770705310465,0.00146748601302394,0,England,2671,30682,0,45,30612,0
2021-03-27,0.000478278198485452,0.998884017536867,0.00063770426464727,0,England,2672,30182,0,19,30148,0
2021-04-03,0.000342778793418647,0.999200182815357,0.000228519195612431,0.000228519195612431,England,2673,20425,0,5,20409,5
2021-04-10,0.00160485021398003,0.994828815977175,0.000178316690442225,0.00338801711840228,England,2674,15975,0,3,15892,54
2021-04-17,0.00125496758000418,0.987450324199958,0.000418322526668061,0.0108763856933696,England,2675,12927,0,0,12765,141
2021-04-24,0.00148022837809262,0.972721505603722,0,0.0257982660181857,England,2676,13001,0,0,12646,335
2021-05-01,0.00151515151515152,0.959343434343434,0,0.0391414141414141,England,2677,11888,0,0,11405,465
2021-05-08,0,0.906834112149533,0.00058411214953271,0.0925817757009346,England,2678,11578,0,0,10499,1072
2021-05-15,0.000756143667296786,0.866162570888469,0.000378071833648393,0.132703213610586,England,2679,11920,0,0,10325,1582
2021-05-22,0.000856531049250535,0.769164882226981,0,0.229978586723769,England,2680,13328,0,0,10251,3065
2021-05-29,0,0.770721205597417,0,0.229278794402583,England,2681,18403,0,0,14184,4219
2021-06-05,0,0.641160949868074,0,0.358839050131926,England,2682,28430,0,0,18228,10202
2021-06-12,0,0.552973977695167,0,0.447026022304833,England,2683,42475,0,0,23488,18987
2021-06-19,0,0.371571072319202,0,0.628428927680798,England,2684,57283,0,0,21285,35998
2021-06-26,0,0.350282485875706,0,0.649717514124294,England,2685,90447,0,0,31682,58765
2021-07-03,0,0.250696378830084,0,0.749303621169917,England,2686,149580,0,0,37499,112081
2021-07-10,0.00543478260869565,0.173913043478261,0,0.820652173913043,England,2687,198003,0,0,34435,162492
